code,name,parent_code,level,aliases
T43.623,"Poisoning by amphetamines, assault",T43.62,6,
T43.624,"Poisoning by amphetamines, undetermined",T43.62,6,
T43.625,Adverse effect of amphetamines,T43.62,6,
T43.626,Underdosing of amphetamines,T43.62,6,
T43.63,"Poisoning by, adverse effect of and underdosing of methylphenidate",T43.6,5,
T43.631,"Poisoning by methylphenidate, accidental (unintentional)",T43.63,6,Poisoning by methylphenidate NOS
T43.632,"Poisoning by methylphenidate, intentional self-harm",T43.63,6,
T43.633,"Poisoning by methylphenidate, assault",T43.63,6,
T43.634,"Poisoning by methylphenidate, undetermined",T43.63,6,
T43.635,Adverse effect of methylphenidate,T43.63,6,
T43.636,Underdosing of methylphenidate,T43.63,6,
T43.64,Poisoning by ecstasy,T43.6,5,"Poisoning by MDMA|Poisoning by 3,4-methylenedioxymethamphetamine"
T43.641,"Poisoning by ecstasy, accidental (unintentional)",T43.64,6,Poisoning by ecstasy NOS
T43.642,"Poisoning by ecstasy, intentional self-harm",T43.64,6,
T43.643,"Poisoning by ecstasy, assault",T43.64,6,
T43.644,"Poisoning by ecstasy, undetermined",T43.64,6,
T43.65,"Poisoning by, adverse effect of and underdosing of methamphetamines",T43.6,5,
T43.651,Poisoning by methamphetamines accidental (unintentional),T43.65,6,Poisoning by methamphetamines NOS
T43.652,Poisoning by methamphetamines intentional self-harm,T43.65,6,
T43.653,"Poisoning by methamphetamines, assault",T43.65,6,
T43.654,"Poisoning by methamphetamines, undetermined",T43.65,6,
T43.655,Adverse effect of methamphetamines,T43.65,6,
T43.656,Underdosing of methamphetamines,T43.65,6,
T43.69,"Poisoning by, adverse effect of and underdosing of other psychostimulants",T43.6,5,
T43.691,"Poisoning by other psychostimulants, accidental (unintentional)",T43.69,6,Poisoning by other psychostimulants NOS
T43.692,"Poisoning by other psychostimulants, intentional self-harm",T43.69,6,
T43.693,"Poisoning by other psychostimulants, assault",T43.69,6,
T43.694,"Poisoning by other psychostimulants, undetermined",T43.69,6,
T43.695,Adverse effect of other psychostimulants,T43.69,6,
T43.696,Underdosing of other psychostimulants,T43.69,6,
T43.8,"Poisoning by, adverse effect of and underdosing of other psychotropic drugs",T43,4,
